sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,type_of_assessment,start,end,event
Male,27,Other,0,c1,0,0,0,2.0,F,Risk of Recidivism,0,56,0
Male,30,Caucasian,0,c4,0,0,3,1.0,M,Risk of Recidivism,0,1101,0
Male,57,Caucasian,0,c2,0,0,0,0.0,M,Risk of Recidivism,1,909,0
Male,21,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,0,738,0
Male,22,African-American,0,c5,0,0,0,1.0,F,Risk of Recidivism,34,552,0
Female,54,Caucasian,0,c2,0,0,1,95.0,F,Risk of Recidivism,0,1019,0
Male,58,Caucasian,0,c3,0,0,2,9.0,F,Risk of Recidivism,0,893,0
Male,20,African-American,0,c10,0,0,0,1.0,F,Risk of Recidivism,208,352,1
Male,40,Other,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1181,0
Female,45,Caucasian,0,c2,0,0,5,2.0,M,Risk of Recidivism,0,1004,0
Male,23,Hispanic,0,c9,0,0,4,27.0,F,Risk of Recidivism,0,214,0
Female,53,Caucasian,0,c3,0,0,1,1.0,M,Risk of Recidivism,0,1080,0
Male,44,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,1,784,0
Female,44,Caucasian,0,c5,0,0,1,6.0,M,Risk of Recidivism,0,433,0
Male,28,African-American,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,968,0
Male,28,Caucasian,0,c1,0,0,2,1.0,M,Risk of Recidivism,0,1143,0
Male,28,African-American,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,966,0
Male,53,Caucasian,0,c1,0,0,4,1.0,F,Risk of Recidivism,0,129,0
Male,47,Hispanic,0,c5,0,0,1,1.0,F,Risk of Recidivism,183,1100,0
Male,20,African-American,0,c3,0,0,1,24.0,F,Risk of Recidivism,0,736,0
Male,21,African-American,0,c6,0,0,0,7.0,M,Risk of Recidivism,0,848,0
Male,60,Hispanic,0,c1,0,0,1,18.0,F,Risk of Recidivism,0,1060,0
Male,30,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1056,0
Female,26,African-American,0,c9,0,0,5,1.0,F,Risk of Recidivism,6,100,1
Male,21,Hispanic,0,c5,0,0,0,1.0,F,Risk of Recidivism,1,936,0
Female,39,African-American,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,1131,0
Male,30,Other,0,c2,0,0,0,1.0,F,Risk of Recidivism,5,1131,0
Male,44,African-American,0,c5,0,0,2,1.0,F,Risk of Recidivism,1,618,0
Male,45,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,2,936,0
Male,30,African-American,0,c1,0,0,1,1.0,F,Risk of Recidivism,0,684,0
Male,38,Asian,0,c1,0,0,2,0.0,F,Risk of Recidivism,8,850,0
Male,37,African-American,0,c4,0,0,1,140.0,F,Risk of Recidivism,0,905,0
Male,46,Asian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,827,0
Male,42,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,833,0
Male,65,Caucasian,0,c1,0,0,2,60.0,M,Risk of Recidivism,0,991,0
Male,54,Caucasian,0,c2,0,0,4,1.0,M,Risk of Recidivism,2,1145,0
Male,29,Caucasian,0,c10,0,0,7,2.0,M,Risk of Recidivism,0,50,1
Male,51,Caucasian,0,c1,0,0,7,1.0,F,Risk of Recidivism,14,32,1
Male,44,African-American,0,c1,0,0,0,0.0,M,Risk of Recidivism,0,1124,0
Male,49,Caucasian,0,c5,0,0,12,24.0,M,Risk of Recidivism,0,52,0
Male,27,African-American,0,c3,0,0,0,1.0,M,Risk of Recidivism,0,774,0
Male,30,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,919,0
Male,22,African-American,0,c10,3,1,6,63.0,F,Risk of Recidivism,0,148,1
Male,28,Hispanic,0,c7,0,0,11,0.0,M,Risk of Recidivism,1,651,0
Male,45,Other,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,751,0
Female,51,Caucasian,0,c5,0,0,5,0.0,F,Risk of Recidivism,33,963,0
Male,43,African-American,0,c3,0,0,2,1.0,F,Risk of Recidivism,5,449,0
Female,63,African-American,0,c4,0,0,1,2902.0,F,Risk of Recidivism,0,858,0
Male,37,Caucasian,0,c2,0,0,2,1.0,F,Risk of Recidivism,0,962,0
Male,26,African-American,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,953,0
Male,32,Other,0,c3,0,0,4,1.0,F,Risk of Recidivism,0,1120,0
Male,39,Hispanic,0,c4,0,0,3,21.0,F,Risk of Recidivism,0,1038,0
Female,58,African-American,0,c1,0,0,4,1.0,F,Risk of Recidivism,0,848,0
Male,33,Other,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,1117,0
Female,22,Caucasian,0,c3,0,1,1,22.0,M,Risk of Recidivism,0,883,0
Male,43,Caucasian,0,c1,0,0,2,10.0,F,Risk of Recidivism,0,869,0
Male,23,African-American,0,c7,0,0,0,1.0,M,Risk of Recidivism,0,1057,0
Male,25,Caucasian,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,766,0
Male,22,African-American,0,c9,0,0,6,1.0,F,Risk of Recidivism,0,405,0
Male,30,African-American,0,c4,0,0,6,1.0,F,Risk of Recidivism,133,1168,0
Male,25,African-American,0,c9,3,1,15,1.0,F,Risk of Recidivism,1,147,1
Male,39,Hispanic,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,934,0
Male,59,African-American,0,c4,0,0,1,1.0,F,Risk of Recidivism,0,1111,0
Male,21,Hispanic,0,c9,0,2,1,8.0,F,Risk of Recidivism,0,938,0
Male,34,Caucasian,0,c2,0,0,2,1.0,M,Risk of Recidivism,0,1139,0
Male,36,Caucasian,0,c4,0,0,6,26.0,F,Risk of Recidivism,0,1078,0
Male,23,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,365,0
Male,32,African-American,0,c8,0,0,2,0.0,M,Risk of Recidivism,109,1166,0
Female,66,Caucasian,0,c1,0,0,1,46.0,M,Risk of Recidivism,0,1068,0
Male,66,Other,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,757,0
Female,24,Caucasian,0,c6,0,0,0,1.0,M,Risk of Recidivism,23,1047,0
Male,28,African-American,0,c7,0,0,1,1.0,M,Risk of Recidivism,1,1113,0
Male,43,Caucasian,0,c5,0,0,4,0.0,F,Risk of Recidivism,2,549,1
Male,35,African-American,0,c2,0,0,3,1.0,M,Risk of Recidivism,10,825,0
Male,33,Caucasian,0,c2,0,0,0,2.0,F,Risk of Recidivism,0,68,1
Male,22,African-American,0,c6,0,0,1,1.0,M,Risk of Recidivism,3,70,1
Male,29,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,1167,0
Female,23,African-American,0,c4,0,0,0,1.0,M,Risk of Recidivism,1,776,0
Male,62,African-American,0,c9,0,0,15,35.0,F,Risk of Recidivism,0,911,0
Female,33,Caucasian,0,c2,0,0,0,3.0,M,Risk of Recidivism,0,47,0
Male,35,African-American,0,c4,0,0,1,1.0,M,Risk of Recidivism,0,1156,0
Male,53,Caucasian,0,c1,0,0,0,0.0,F,Risk of Recidivism,0,843,0
Female,48,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1086,0
Female,33,African-American,0,c2,0,0,1,10.0,F,Risk of Recidivism,0,1152,0
Male,44,Caucasian,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,1068,0
Male,56,Other,0,c1,0,0,9,147.0,F,Risk of Recidivism,0,771,0
Male,51,Hispanic,0,c1,0,0,1,18.0,F,Risk of Recidivism,0,762,0
Male,21,Hispanic,0,c7,0,0,0,1.0,F,Risk of Recidivism,0,129,0
Male,26,Caucasian,0,c5,0,0,0,0.0,F,Risk of Recidivism,0,1185,0
Male,22,African-American,0,c9,3,0,3,0.0,F,Risk of Recidivism,0,915,0
Male,29,African-American,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,1101,0
Male,44,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,870,0
Male,41,African-American,0,c5,0,0,2,1.0,F,Risk of Recidivism,14,953,0
Female,28,African-American,0,c4,0,1,4,0.0,F,Risk of Recidivism,0,875,0
Male,31,Caucasian,0,c3,0,0,7,1.0,M,Risk of Recidivism,0,753,0
Male,20,African-American,0,c4,0,2,0,1.0,F,Risk of Recidivism,0,117,0
Male,36,African-American,0,c8,0,0,0,0.0,F,Risk of Recidivism,1,1129,0
Male,23,African-American,1,c9,0,0,1,1.0,M,Risk of Recidivism,4,961,0
Female,59,Caucasian,0,c1,0,0,1,21.0,F,Risk of Recidivism,0,965,0
Male,37,Caucasian,0,c2,0,0,0,5.0,F,Risk of Recidivism,0,85,1
Male,31,African-American,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,911,0
Female,38,African-American,0,c10,0,0,14,1.0,F,Risk of Recidivism,4,29,0
Male,27,African-American,0,c8,0,0,3,1.0,F,Risk of Recidivism,0,50,1
Female,42,African-American,0,c2,0,0,2,1.0,F,Risk of Recidivism,0,857,0
Male,22,African-American,0,c8,0,0,3,1.0,F,Risk of Recidivism,25,66,1
Male,21,Other,0,c6,0,0,0,1.0,F,Risk of Recidivism,1,1127,0
Male,57,Caucasian,0,c7,0,0,15,32.0,F,Risk of Recidivism,0,920,0
Male,52,Caucasian,0,c1,0,0,2,41.0,M,Risk of Recidivism,0,1058,0
Male,29,Caucasian,0,c3,0,0,0,1.0,M,Risk of Recidivism,0,1044,0
Female,37,African-American,0,c4,0,0,0,0.0,M,Risk of Recidivism,5,1163,0
Male,34,Caucasian,0,c2,0,1,0,1.0,F,Risk of Recidivism,0,642,0
Male,53,African-American,0,c1,0,0,0,1.0,M,Risk of Recidivism,1,151,1
Male,35,Hispanic,0,c3,0,0,0,7.0,M,Risk of Recidivism,0,460,0
Male,28,Caucasian,0,c4,0,0,1,1.0,F,Risk of Recidivism,3,1047,0
Male,21,African-American,0,c8,0,0,1,1.0,F,Risk of Recidivism,0,1067,0
Male,22,African-American,0,c7,0,0,1,1.0,F,Risk of Recidivism,0,13,0
Male,42,Caucasian,0,c3,0,0,1,1.0,M,Risk of Recidivism,0,142,1
Male,54,African-American,0,c1,0,0,9,3940.0,M,Risk of Recidivism,1,825,0
Male,39,Other,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,79,0
Male,41,African-American,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,815,0
Male,43,Caucasian,0,c2,0,0,1,1.0,F,Risk of Recidivism,64,237,0
Male,22,African-American,0,c3,0,0,0,2.0,M,Risk of Recidivism,0,15,1
Male,42,Hispanic,0,c5,0,0,3,100.0,M,Risk of Recidivism,0,849,0
Female,42,African-American,0,c3,0,0,2,1.0,M,Risk of Recidivism,34,1162,0
Male,49,African-American,0,c2,0,0,4,1.0,M,Risk of Recidivism,36,788,0
Male,52,Caucasian,0,c1,0,0,1,1.0,F,Risk of Recidivism,24,892,0
Female,60,Caucasian,0,c1,0,0,2,1.0,F,Risk of Recidivism,0,858,0
Female,23,African-American,0,c6,0,0,0,1.0,M,Risk of Recidivism,0,1115,0
Male,30,African-American,0,c7,0,0,2,1867.0,M,Risk of Recidivism,0,340,0
Male,32,African-American,0,c7,0,0,2,0.0,F,Risk of Recidivism,1,304,1
Male,22,African-American,0,c5,0,0,3,21.0,F,Risk of Recidivism,0,20,1
Male,44,African-American,0,c2,0,0,2,1.0,F,Risk of Recidivism,1,1141,0
Male,32,Caucasian,0,c4,0,0,3,1.0,F,Risk of Recidivism,85,613,0
Female,27,African-American,0,c2,0,0,1,1.0,M,Risk of Recidivism,0,923,0
Male,61,Caucasian,0,c2,0,0,3,0.0,M,Risk of Recidivism,1,28,0
Male,69,African-American,0,c1,0,0,3,0.0,M,Risk of Recidivism,0,968,0
Male,51,Other,0,c1,0,0,2,1.0,F,Risk of Recidivism,33,961,0
Female,21,Caucasian,0,c6,0,0,1,86.0,F,Risk of Recidivism,1,417,0
Male,24,African-American,0,c9,5,0,12,0.0,M,Risk of Recidivism,0,7,1
Male,57,Hispanic,0,c1,0,0,3,2.0,F,Risk of Recidivism,0,921,0
Male,30,Caucasian,0,c7,0,0,6,1.0,F,Risk of Recidivism,6,969,0
Male,24,African-American,0,c7,0,1,4,1.0,F,Risk of Recidivism,4,232,0
Female,30,Caucasian,0,c7,0,0,7,17.0,M,Risk of Recidivism,0,885,0
Female,56,Caucasian,0,c8,0,0,1,1.0,F,Risk of Recidivism,384,1185,0
Male,21,African-American,0,c8,0,0,1,8.0,F,Risk of Recidivism,0,37,0
Male,31,African-American,3,c10,0,0,6,1.0,F,Risk of Recidivism,30,175,1
Female,23,African-American,0,c9,0,0,1,1.0,F,Risk of Recidivism,0,1079,0
Male,42,Other,0,c1,0,0,1,13.0,M,Risk of Recidivism,0,1019,0
Male,64,Caucasian,0,c3,0,0,0,1.0,F,Risk of Recidivism,307,1175,0
Female,21,Caucasian,0,c6,0,0,0,1.0,F,Risk of Recidivism,0,110,1
Male,36,African-American,0,c3,0,0,5,795.0,F,Risk of Recidivism,0,17,0
Female,50,African-American,0,c1,0,0,1,1.0,F,Risk of Recidivism,0,945,0
Male,28,Native American,0,c3,0,0,2,1.0,F,Risk of Recidivism,48,1071,0
Female,25,Caucasian,0,c7,0,0,5,4.0,F,Risk of Recidivism,0,18,0
Female,47,African-American,0,c6,0,0,1,762.0,F,Risk of Recidivism,0,932,0
Male,53,Hispanic,0,c10,0,0,4,490.0,F,Risk of Recidivism,0,882,0
Male,54,Caucasian,0,c4,0,0,14,1.0,M,Risk of Recidivism,27,28,1
Male,37,Other,0,c1,0,0,6,1.0,M,Risk of Recidivism,0,826,0
Male,25,Caucasian,0,c9,0,1,5,1.0,M,Risk of Recidivism,14,326,1
Male,35,African-American,0,c7,0,0,2,1.0,M,Risk of Recidivism,0,741,0
Male,32,African-American,0,c3,0,0,2,677.0,F,Risk of Recidivism,0,740,0
Male,25,African-American,0,c10,0,0,8,1.0,M,Risk of Recidivism,1,14,0
Male,33,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,851,0
Male,29,African-American,0,c3,0,0,7,1.0,F,Risk of Recidivism,1,92,0
Male,27,Hispanic,0,c4,0,0,2,1.0,M,Risk of Recidivism,0,1135,0
Female,20,Caucasian,0,c10,2,1,3,1.0,M,Risk of Recidivism,0,27,0
Male,72,Caucasian,0,c1,0,0,1,23.0,M,Risk of Recidivism,0,1019,0
Male,38,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,1,545,0
Male,40,Caucasian,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,1119,0
Male,23,Caucasian,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,750,0
Male,21,Caucasian,0,c8,0,0,5,10.0,F,Risk of Recidivism,0,163,1
Female,41,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,812,0
Male,56,Caucasian,0,c1,0,0,1,1.0,M,Risk of Recidivism,1,1051,0
Male,55,Caucasian,0,c7,0,0,11,338.0,M,Risk of Recidivism,56,151,0
Male,28,African-American,0,c2,0,0,3,1.0,F,Risk of Recidivism,0,951,0
Male,31,Other,0,c2,0,0,2,1.0,F,Risk of Recidivism,12,309,1
Male,56,African-American,0,c2,0,0,3,49.0,M,Risk of Recidivism,0,58,0
Male,53,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1082,0
Male,33,African-American,0,c6,0,0,7,1.0,M,Risk of Recidivism,1,285,0
Male,34,African-American,0,c7,0,0,15,6.0,F,Risk of Recidivism,0,230,0
Male,32,African-American,0,c8,0,0,12,1.0,F,Risk of Recidivism,0,1092,1
Male,24,Asian,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,1177,0
Male,56,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,1067,0
Male,36,Hispanic,0,c4,0,0,1,22.0,F,Risk of Recidivism,0,30,1
Male,28,African-American,0,c6,0,0,4,1.0,F,Risk of Recidivism,21,83,1
Male,59,Hispanic,0,c1,0,0,0,2.0,M,Risk of Recidivism,0,948,0
Female,29,African-American,0,c8,0,0,11,1.0,F,Risk of Recidivism,0,880,0
Male,72,Caucasian,0,c1,0,0,3,5.0,F,Risk of Recidivism,0,744,0
Male,45,African-American,0,c9,0,0,3,35.0,F,Risk of Recidivism,0,6,0
Male,45,African-American,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1185,0
Male,47,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,779,0
Male,34,African-American,0,c3,0,0,2,128.0,M,Risk of Recidivism,0,758,0
Male,22,Hispanic,0,c3,0,0,2,257.0,F,Risk of Recidivism,0,102,0
Male,41,Caucasian,0,c1,0,0,5,1.0,F,Risk of Recidivism,0,932,0
Male,49,Caucasian,0,c3,0,0,1,17.0,F,Risk of Recidivism,0,801,0
Male,26,Hispanic,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,907,0
Female,34,Caucasian,0,c3,0,0,2,49.0,F,Risk of Recidivism,0,53,1
Female,28,African-American,0,c3,0,0,0,1.0,M,Risk of Recidivism,0,893,0
Male,33,Caucasian,0,c2,0,0,2,1.0,M,Risk of Recidivism,1,1098,0
Male,46,African-American,0,c7,0,0,0,1.0,F,Risk of Recidivism,1,871,0
Male,21,African-American,0,c4,0,0,0,1.0,M,Risk of Recidivism,1,1029,1
Female,28,Hispanic,0,c5,0,0,2,65.0,M,Risk of Recidivism,0,842,0
Male,29,Other,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,1184,0
Male,21,Caucasian,0,c8,0,0,0,1.0,F,Risk of Recidivism,4,141,1
Male,26,Other,0,c7,0,0,0,1.0,F,Risk of Recidivism,0,1141,0
Male,34,African-American,0,c1,0,0,3,4.0,M,Risk of Recidivism,0,1068,0
Male,22,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,742,0
Female,57,Caucasian,0,c4,0,0,0,1.0,M,Risk of Recidivism,0,1049,0
Female,56,Caucasian,0,c1,0,0,1,20.0,F,Risk of Recidivism,0,1015,0
Male,30,African-American,0,c8,2,2,11,1.0,F,Risk of Recidivism,0,55,0
Male,29,African-American,0,c1,0,0,2,1.0,M,Risk of Recidivism,0,746,0
Male,36,African-American,2,c10,0,0,5,64.0,F,Risk of Recidivism,0,510,0
Female,24,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,765,0
Female,70,African-American,0,c1,0,0,1,1.0,F,Risk of Recidivism,1,1159,0
Female,45,Caucasian,0,c1,0,0,1,11.0,M,Risk of Recidivism,0,1170,0
Female,33,Hispanic,0,c4,0,0,2,1.0,M,Risk of Recidivism,1,893,0
Female,39,African-American,0,c5,1,0,6,1.0,F,Risk of Recidivism,1,1168,0
Male,25,Caucasian,0,c4,1,0,6,16.0,F,Risk of Recidivism,0,1065,0
Male,48,Hispanic,0,c1,0,0,1,1.0,M,Risk of Recidivism,1,1156,0
Male,46,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,1055,0
Male,28,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,3,151,1
Male,32,Caucasian,0,c2,0,0,1,229.0,M,Risk of Recidivism,0,1100,0
Male,27,African-American,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,793,0
Male,43,Caucasian,0,c7,0,0,11,227.0,F,Risk of Recidivism,0,16,0
Male,35,African-American,0,c9,4,17,12,734.0,F,Risk of Recidivism,0,1152,0
Male,29,Caucasian,0,c3,0,0,1,22.0,F,Risk of Recidivism,0,329,0
Female,20,Caucasian,0,c4,0,0,0,0.0,F,Risk of Recidivism,0,860,0
Male,29,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,835,0
Male,28,Other,0,c2,0,0,3,249.0,F,Risk of Recidivism,0,812,0
Male,67,Asian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,955,0
Female,46,African-American,0,c5,0,0,1,1041.0,M,Risk of Recidivism,0,1153,0
Male,25,Other,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,962,0
Male,24,African-American,0,c9,2,1,8,1.0,F,Risk of Recidivism,0,364,1
Male,29,Other,0,c6,0,0,3,1.0,F,Risk of Recidivism,177,1056,0
Male,45,African-American,0,c6,0,0,2,345.0,M,Risk of Recidivism,28,1154,0
Male,61,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,786,0
Male,32,Other,0,c1,0,0,1,15.0,F,Risk of Recidivism,0,1022,0
Male,43,Caucasian,0,c6,0,0,9,2.0,F,Risk of Recidivism,0,1135,0
Male,32,Other,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,797,0
Male,36,African-American,0,c5,0,0,0,1.0,F,Risk of Recidivism,0,779,0
Male,32,African-American,0,c2,0,0,1,885.0,M,Risk of Recidivism,0,1081,0
Male,57,African-American,0,c9,0,0,12,1.0,F,Risk of Recidivism,50,1038,0
Male,37,African-American,0,c7,0,0,2,0.0,F,Risk of Recidivism,0,1173,0
Male,44,African-American,0,c6,0,0,6,1.0,F,Risk of Recidivism,1,891,0
Male,51,African-American,0,c2,0,0,8,447.0,F,Risk of Recidivism,0,1163,0
Male,45,Hispanic,0,c6,0,0,4,140.0,F,Risk of Recidivism,0,1082,0
Male,28,Caucasian,0,c8,0,2,9,297.0,M,Risk of Recidivism,0,112,0
Male,45,African-American,0,c7,0,0,8,0.0,F,Risk of Recidivism,0,139,1
Male,48,Other,0,c1,0,0,1,1.0,F,Risk of Recidivism,1,1099,0
Male,25,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,1,1111,0
Male,43,African-American,0,c1,0,0,1,1.0,F,Risk of Recidivism,0,914,0
Male,30,African-American,0,c1,0,0,0,0.0,M,Risk of Recidivism,0,753,0
Male,50,Caucasian,0,c1,0,0,0,2.0,M,Risk of Recidivism,0,921,0
Female,31,African-American,0,c2,0,0,2,1.0,F,Risk of Recidivism,0,555,0
Female,33,Caucasian,0,c6,0,0,7,6.0,M,Risk of Recidivism,0,875,0
Male,32,African-American,0,c5,0,0,1,1.0,F,Risk of Recidivism,19,415,1
Male,22,Hispanic,0,c6,0,0,0,1.0,F,Risk of Recidivism,0,755,0
Male,21,Caucasian,0,c5,0,0,0,1.0,F,Risk of Recidivism,0,1127,0
Male,22,Other,0,c9,0,0,1,287.0,F,Risk of Recidivism,0,1165,0
Male,52,Other,0,c1,0,0,2,1.0,F,Risk of Recidivism,0,82,0
Male,49,Caucasian,0,c2,0,0,2,1.0,M,Risk of Recidivism,0,915,0
Male,22,African-American,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,947,0
Male,45,Hispanic,0,c1,0,0,0,1.0,F,Risk of Recidivism,12,1078,0
Male,28,African-American,0,c6,0,0,5,1.0,M,Risk of Recidivism,0,1111,0
Male,21,African-American,0,c5,0,0,1,1.0,F,Risk of Recidivism,0,4,1
Male,37,Hispanic,0,c3,0,1,2,1.0,M,Risk of Recidivism,0,780,0
Male,28,African-American,2,c10,1,0,11,1.0,F,Risk of Recidivism,25,881,0
Male,24,African-American,0,c3,0,0,1,1.0,F,Risk of Recidivism,0,1171,0
Male,44,African-American,0,c3,0,0,9,132.0,F,Risk of Recidivism,0,73,0
Male,25,Hispanic,0,c8,0,4,5,1223.0,F,Risk of Recidivism,0,745,0
Male,32,African-American,1,c7,3,0,24,1.0,F,Risk of Recidivism,2,232,1
Female,24,African-American,0,c5,0,0,1,1.0,F,Risk of Recidivism,0,864,0
Male,57,African-American,0,c3,0,0,19,1.0,F,Risk of Recidivism,0,741,0
Male,21,Other,0,c6,0,0,0,1.0,M,Risk of Recidivism,0,1053,0
Male,28,Caucasian,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,225,0
Male,51,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,92,1108,0
Male,25,African-American,0,c7,1,0,6,0.0,M,Risk of Recidivism,32,958,0
Male,19,Caucasian,0,c6,0,0,0,1.0,M,Risk of Recidivism,2,327,1
Male,57,African-American,0,c10,0,0,27,9.0,M,Risk of Recidivism,0,814,0
Female,27,African-American,0,c2,0,0,0,0.0,M,Risk of Recidivism,1,1089,0
Male,66,Caucasian,0,c1,0,0,1,1.0,M,Risk of Recidivism,18,1174,0
Female,25,African-American,0,c7,0,0,4,46.0,M,Risk of Recidivism,0,301,1
Male,21,Caucasian,0,c3,0,0,0,0.0,F,Risk of Recidivism,0,1161,0
Male,45,Caucasian,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,1117,0
Male,38,African-American,0,c6,0,0,6,205.0,F,Risk of Recidivism,0,321,0
Male,37,African-American,2,c8,3,0,24,1.0,F,Risk of Recidivism,19,1166,0
Male,64,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,3,958,0
Male,30,African-American,0,c6,0,0,1,1.0,F,Risk of Recidivism,0,52,0
Male,61,African-American,0,c1,0,0,1,1.0,M,Risk of Recidivism,1,961,0
Male,33,Caucasian,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,834,0
Female,49,Caucasian,0,c2,0,0,8,10.0,F,Risk of Recidivism,0,763,0
Male,23,African-American,0,c7,0,0,0,1.0,F,Risk of Recidivism,1,1146,0
Male,33,African-American,0,c8,0,0,14,79.0,F,Risk of Recidivism,0,869,0
Male,21,Caucasian,0,c9,0,0,0,2.0,F,Risk of Recidivism,0,47,1
Male,26,Hispanic,0,c4,0,1,7,1.0,M,Risk of Recidivism,2,955,0
Male,27,African-American,0,c9,0,1,2,1.0,M,Risk of Recidivism,0,370,0
Male,38,Caucasian,0,c6,0,0,1,1.0,M,Risk of Recidivism,15,1183,0
Male,26,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,758,0
Male,23,Caucasian,0,c7,0,1,2,0.0,F,Risk of Recidivism,13,860,1
Female,36,African-American,0,c1,0,0,0,0.0,M,Risk of Recidivism,0,743,0
Male,58,Caucasian,0,c1,0,0,1,1.0,F,Risk of Recidivism,79,1037,0
Male,46,Caucasian,0,c3,0,0,5,240.0,M,Risk of Recidivism,0,125,0
Female,35,Caucasian,0,c3,0,0,4,30.0,F,Risk of Recidivism,0,807,0
Male,23,African-American,0,c7,0,0,3,1.0,F,Risk of Recidivism,0,134,0
Male,40,Caucasian,0,c1,0,0,1,21.0,F,Risk of Recidivism,0,830,0
Male,31,Hispanic,0,c3,0,0,3,1.0,F,Risk of Recidivism,0,900,0
Female,34,Hispanic,0,c4,0,0,5,1.0,F,Risk of Recidivism,1,1045,0
Female,26,African-American,0,c5,0,0,3,27.0,F,Risk of Recidivism,0,1050,0
Male,49,African-American,0,c1,0,0,1,0.0,F,Risk of Recidivism,25,1146,0
Female,47,Hispanic,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,950,0
Female,45,Native American,0,c2,0,0,1,147.0,M,Risk of Recidivism,0,1121,0
Male,47,African-American,0,c2,0,0,6,0.0,F,Risk of Recidivism,5,907,0
Male,45,Hispanic,0,c8,0,0,1,37.0,M,Risk of Recidivism,0,378,0
Male,27,African-American,0,c9,0,0,10,1.0,F,Risk of Recidivism,7,1127,0
Female,52,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,822,0
Male,25,African-American,0,c7,0,1,9,1.0,F,Risk of Recidivism,2,537,0
Male,51,African-American,0,c2,0,0,1,1.0,F,Risk of Recidivism,162,918,0
Female,29,African-American,0,c2,0,0,1,0.0,M,Risk of Recidivism,0,907,1
Male,39,African-American,0,c3,0,0,1,5806.0,F,Risk of Recidivism,0,1056,0
Male,46,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,747,0
Male,28,Caucasian,0,c4,0,0,6,2.0,F,Risk of Recidivism,0,218,0
Male,57,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,783,0
